epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,477.043,1.53929,1.12732,1.35984,0.6411,0.84757,0.81836,0.44955,1.54474,1.04217,1.41658,0.00106353,0.00106353,0.00106353
43,488.363,1.54798,1.11013,1.37549,0.70595,0.72177,0.79047,0.44009,1.47733,1.00376,1.38245,0.00106237,0.00106237,0.00106237
44,499.629,1.53508,1.18336,1.38067,0.73161,0.79635,0.83177,0.4737,1.44623,0.93269,1.37096,0.00106122,0.00106122,0.00106122
45,511.07,1.57841,1.10673,1.40094,0.72711,0.75686,0.82066,0.47685,1.44983,0.93041,1.36849,0.00106006,0.00106006,0.00106006
46,522.464,1.52263,1.10368,1.34526,0.73648,0.79997,0.80931,0.42556,1.55864,0.96287,1.44815,0.0010589,0.0010589,0.0010589
47,534.123,1.50936,1.11647,1.3383,0.66103,0.80148,0.79497,0.43822,1.50979,0.98603,1.40952,0.00105774,0.00105774,0.00105774
48,545.447,1.48627,1.12569,1.36704,0.62016,0.85418,0.82935,0.44863,1.59433,0.95886,1.44204,0.00105658,0.00105658,0.00105658
49,556.78,1.51346,1.06929,1.38266,0.72749,0.8049,0.82934,0.46455,1.48609,0.91273,1.39822,0.00105543,0.00105543,0.00105543
50,568.137,1.53369,1.09636,1.37242,0.78138,0.83982,0.85716,0.49328,1.44888,0.89277,1.38095,0.00105427,0.00105427,0.00105427
51,579.513,1.50365,1.07095,1.38056,0.6778,0.82062,0.80437,0.46094,1.41693,0.9499,1.36031,0.00105311,0.00105311,0.00105311
52,590.768,1.52589,1.14,1.36743,0.69681,0.8136,0.81456,0.47338,1.40763,0.93378,1.35177,0.00105195,0.00105195,0.00105195
53,601.9,1.50596,1.1495,1.36954,0.7599,0.783,0.84534,0.4894,1.44907,0.90626,1.37908,0.0010508,0.0010508,0.0010508
54,613.268,1.51075,1.11293,1.37876,0.76077,0.8192,0.85,0.49023,1.4083,0.89017,1.35522,0.00104964,0.00104964,0.00104964
55,624.547,1.51021,1.06496,1.37353,0.66584,0.77037,0.79454,0.45721,1.43438,0.93143,1.35721,0.00104848,0.00104848,0.00104848
56,635.858,1.4873,1.04662,1.33348,0.71299,0.78941,0.81584,0.45332,1.52165,0.9557,1.42449,0.00104732,0.00104732,0.00104732
57,647.064,1.49298,1.05717,1.36706,0.74786,0.69115,0.79105,0.41091,1.62999,0.98049,1.48367,0.00104616,0.00104616,0.00104616
58,658.705,1.5017,1.05746,1.34743,0.80512,0.77588,0.84403,0.46118,1.52928,0.91212,1.44923,0.00104501,0.00104501,0.00104501
59,670.286,1.50837,1.08579,1.36282,0.73187,0.82639,0.84185,0.48726,1.43563,0.8798,1.37869,0.00104385,0.00104385,0.00104385
60,681.92,1.47863,1.07977,1.35444,0.76626,0.8555,0.87166,0.52032,1.39703,0.88206,1.3505,0.00104269,0.00104269,0.00104269
61,693.336,1.47188,1.03163,1.32085,0.76108,0.81705,0.87381,0.53014,1.40166,0.83503,1.34297,0.00104153,0.00104153,0.00104153
62,704.749,1.45558,1.03403,1.35389,0.73216,0.85231,0.87269,0.52099,1.40037,0.86291,1.34707,0.00104038,0.00104038,0.00104038
63,716.015,1.50833,1.04101,1.35299,0.70789,0.82299,0.84409,0.50086,1.44987,0.87261,1.36926,0.00103922,0.00103922,0.00103922
64,727.3,1.45655,1.00681,1.34015,0.79747,0.80872,0.88082,0.52516,1.38363,0.85443,1.33588,0.00103806,0.00103806,0.00103806
65,738.587,1.47604,1.03505,1.34978,0.75657,0.77496,0.83506,0.47908,1.45476,0.90653,1.36801,0.0010369,0.0010369,0.0010369
66,749.844,1.45192,1.00809,1.31555,0.71693,0.81217,0.84937,0.50249,1.44404,0.89535,1.34741,0.00103574,0.00103574,0.00103574
67,761.019,1.4984,1.01916,1.35578,0.74845,0.82907,0.85855,0.48433,1.4582,0.89214,1.36723,0.00103459,0.00103459,0.00103459
68,772.365,1.47146,0.98479,1.34989,0.74933,0.85892,0.87371,0.5306,1.40045,0.845,1.34913,0.00103343,0.00103343,0.00103343
69,783.611,1.48258,1.01493,1.34075,0.79959,0.85487,0.88143,0.53231,1.40267,0.84124,1.34225,0.00103227,0.00103227,0.00103227
70,795.107,1.47162,0.99528,1.3514,0.79351,0.84026,0.89615,0.51709,1.43761,0.9089,1.35123,0.00103111,0.00103111,0.00103111
71,806.361,1.43737,1.01125,1.30747,0.78832,0.88389,0.889,0.53296,1.35886,0.8353,1.33362,0.00102996,0.00102996,0.00102996
72,817.638,1.47967,1.03081,1.34557,0.7514,0.8544,0.88248,0.54037,1.35699,0.84213,1.3204,0.0010288,0.0010288,0.0010288
73,828.748,1.43647,1.03821,1.32943,0.80501,0.86393,0.89641,0.54403,1.34984,0.83785,1.31505,0.00102764,0.00102764,0.00102764
74,840.045,1.45506,0.99755,1.34228,0.77224,0.86463,0.88138,0.54275,1.41054,0.83229,1.33078,0.00102648,0.00102648,0.00102648
75,851.339,1.46297,0.99124,1.33114,0.76841,0.85603,0.88366,0.5149,1.42347,0.84814,1.35753,0.00102532,0.00102532,0.00102532
76,862.625,1.395,0.98933,1.28188,0.82565,0.8395,0.88149,0.54913,1.31963,0.81131,1.30437,0.00102417,0.00102417,0.00102417
77,873.955,1.45458,1.00602,1.32909,0.81643,0.78161,0.86891,0.54005,1.34185,0.8373,1.30453,0.00102301,0.00102301,0.00102301
78,885.125,1.41584,0.95153,1.30553,0.80862,0.82676,0.89722,0.54623,1.39294,0.83421,1.31685,0.00102185,0.00102185,0.00102185
79,896.277,1.40893,0.97301,1.29878,0.83687,0.83234,0.90905,0.56891,1.32966,0.82355,1.31259,0.00102069,0.00102069,0.00102069
80,907.629,1.44752,0.96059,1.33409,0.79133,0.82259,0.88515,0.54009,1.37257,0.84209,1.32427,0.00101954,0.00101954,0.00101954
81,918.756,1.40397,0.95204,1.30902,0.86415,0.81238,0.91641,0.579,1.32062,0.77364,1.29556,0.00101838,0.00101838,0.00101838
82,930.091,1.40348,0.95779,1.3255,0.80685,0.83492,0.90657,0.53492,1.39239,0.88974,1.34523,0.00101722,0.00101722,0.00101722
83,941.337,1.4312,0.96416,1.32,0.85718,0.80442,0.8954,0.55358,1.34254,0.77926,1.32609,0.00101606,0.00101606,0.00101606
84,952.497,1.42892,0.94373,1.31606,0.85147,0.87215,0.92767,0.59002,1.28839,0.75223,1.29222,0.0010149,0.0010149,0.0010149
85,963.762,1.39197,0.91971,1.29645,0.83635,0.86649,0.9265,0.59394,1.28105,0.7773,1.27535,0.00101375,0.00101375,0.00101375
86,975.203,1.38485,0.95692,1.3014,0.76804,0.88753,0.91654,0.59405,1.26978,0.75481,1.27606,0.00101259,0.00101259,0.00101259
87,986.474,1.37734,0.98454,1.29908,0.78396,0.81269,0.87851,0.51213,1.4768,0.88408,1.38119,0.00101143,0.00101143,0.00101143
88,997.602,1.38179,0.94378,1.29517,0.7792,0.8653,0.88755,0.52657,1.4337,0.86315,1.36085,0.00101027,0.00101027,0.00101027
89,1008.69,1.38125,0.96134,1.28724,0.85653,0.91213,0.93305,0.58584,1.25798,0.73904,1.26606,0.00100912,0.00100912,0.00100912
90,1019.99,1.35586,0.93929,1.27659,0.86318,0.88277,0.93057,0.60033,1.26203,0.74579,1.26436,0.00100796,0.00100796,0.00100796
91,1031.51,1.34973,0.88945,1.27256,0.86216,0.88284,0.9292,0.59353,1.31089,0.76494,1.28657,0.0010068,0.0010068,0.0010068
92,1043,1.4011,0.96037,1.28325,0.82854,0.89601,0.92503,0.58184,1.26998,0.78644,1.25132,0.00100564,0.00100564,0.00100564
93,1054.4,1.37056,0.92377,1.27658,0.87823,0.85549,0.92518,0.57531,1.3081,0.74836,1.29211,0.00100448,0.00100448,0.00100448
94,1065.95,1.34891,0.88386,1.28698,0.84793,0.80785,0.89283,0.55037,1.34832,0.81737,1.30153,0.00100333,0.00100333,0.00100333
95,1077.21,1.31647,0.88461,1.27624,0.87096,0.82194,0.90069,0.57333,1.35293,0.78244,1.30328,0.00100217,0.00100217,0.00100217
96,1088.58,1.34997,0.89593,1.25382,0.8353,0.89901,0.93561,0.60133,1.23377,0.74723,1.24729,0.00100101,0.00100101,0.00100101
97,1100.18,1.36223,0.90703,1.27685,0.84757,0.87363,0.93783,0.625,1.22538,0.71652,1.2369,0.000999853,0.000999853,0.000999853
98,1111.59,1.36243,0.87865,1.25508,0.82202,0.84939,0.91179,0.58345,1.28226,0.76046,1.26015,0.000998695,0.000998695,0.000998695
99,1122.97,1.30019,0.85473,1.2489,0.89562,0.89591,0.95496,0.65708,1.16261,0.67288,1.20802,0.000997538,0.000997538,0.000997538
100,1134.33,1.34067,0.903,1.26476,0.88472,0.91022,0.94905,0.64243,1.17489,0.67506,1.20835,0.00099638,0.00099638,0.00099638
101,1145.59,1.31534,0.83771,1.22715,0.88883,0.87766,0.94878,0.63178,1.1937,0.68731,1.21833,0.000995222,0.000995222,0.000995222
