epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.425,2.46375,6.2495,2.07746,0.64417,0.38742,0.29957,0.11323,1.99014,3.84954,1.72747,0.00024442,0.00024442,0.00024442
2,31.7506,1.9411,2.73081,1.63385,0.42506,0.52797,0.45426,0.204,1.77758,1.89155,1.68986,0.000499455,0.000499455,0.000499455
3,44.2109,1.82685,2.05391,1.56505,0.32126,0.46999,0.2941,0.11649,2.03403,3.97281,1.78683,0.000753984,0.000753984,0.000753984
4,55.9876,1.816,1.92825,1.50132,0.7525,0.34288,0.45651,0.19869,1.80468,2.66852,1.67513,0.00100801,0.00100801,0.00100801
5,67.4112,1.7776,1.70995,1.52723,0.60305,0.63897,0.55394,0.25078,1.7349,2.19665,1.67745,0.0011066,0.0011066,0.0011066
6,79.2563,1.73313,1.62082,1.4797,0.64954,0.29599,0.28237,0.14216,2.20321,24.3749,2.2721,0.0011055,0.0011055,0.0011055
7,90.5398,1.7807,1.57928,1.51063,0.66186,0.00503,0.00311,0.00104,4.57927,10.1411,6.08149,0.0011044,0.0011044,0.0011044
8,101.855,1.76106,1.63087,1.49831,0.44106,0.53998,0.41287,0.19342,1.77373,2.93494,1.6088,0.0011033,0.0011033,0.0011033
9,113.128,1.71941,1.53258,1.46663,0.36491,0.67921,0.52882,0.24776,1.67601,3.67586,1.53612,0.0011022,0.0011022,0.0011022
10,124.44,1.72492,1.48083,1.49642,0.70762,0.55538,0.60464,0.29097,1.65586,1.46441,1.55133,0.0011011,0.0011011,0.0011011
11,135.685,1.73825,1.49699,1.5185,0.40076,0.78196,0.64076,0.30354,1.67649,1.49088,1.53701,0.0011,0.0011,0.0011
12,146.98,1.67534,1.47524,1.44462,0.48576,0.6446,0.5838,0.30401,1.61148,1.41435,1.4838,0.0010989,0.0010989,0.0010989
13,158.207,1.68479,1.43882,1.43435,0.50885,0.77182,0.6405,0.33249,1.61015,1.33942,1.46827,0.0010978,0.0010978,0.0010978
14,169.567,1.67318,1.44169,1.45996,0.62697,0.75911,0.72202,0.37744,1.5318,1.2732,1.42872,0.0010967,0.0010967,0.0010967
15,180.832,1.68628,1.4334,1.46138,0.69901,0.61077,0.6006,0.32552,1.55734,1.28761,1.47682,0.0010956,0.0010956,0.0010956
16,191.958,1.68014,1.3576,1.44475,0.5515,0.73235,0.68583,0.35936,1.56009,1.17879,1.43168,0.0010945,0.0010945,0.0010945
17,203.157,1.66021,1.39536,1.45681,0.52787,0.75147,0.66227,0.34432,1.5858,1.19333,1.47318,0.0010934,0.0010934,0.0010934
18,214.35,1.62743,1.34312,1.41674,0.60571,0.69696,0.66705,0.34735,1.59084,1.23144,1.46878,0.0010923,0.0010923,0.0010923
19,225.468,1.6557,1.31576,1.41815,0.4908,0.76933,0.66137,0.33153,1.61942,1.21978,1.47218,0.0010912,0.0010912,0.0010912
20,236.719,1.66273,1.33547,1.41585,0.49938,0.74719,0.65122,0.30637,1.67012,1.24272,1.52786,0.0010901,0.0010901,0.0010901
21,247.943,1.63773,1.33863,1.44672,0.59106,0.69213,0.688,0.34667,1.60877,1.26192,1.49905,0.001089,0.001089,0.001089
22,259.203,1.62043,1.30234,1.42216,0.50697,0.60633,0.6315,0.3074,1.75824,1.25852,1.56128,0.0010879,0.0010879,0.0010879
23,270.416,1.65062,1.26184,1.44231,0.65155,0.63238,0.66665,0.3264,1.72926,1.39071,1.58029,0.0010868,0.0010868,0.0010868
24,281.778,1.58635,1.27879,1.4047,0.66674,0.72103,0.7197,0.38351,1.53678,1.06999,1.43721,0.0010857,0.0010857,0.0010857
25,293.166,1.62603,1.26321,1.42097,0.54734,0.77216,0.74375,0.38196,1.55559,1.19428,1.44877,0.0010846,0.0010846,0.0010846
26,304.627,1.60111,1.24625,1.41351,0.59225,0.7856,0.73471,0.40357,1.5148,1.13598,1.43315,0.0010835,0.0010835,0.0010835
27,316.332,1.60912,1.27775,1.41594,0.67286,0.73197,0.74023,0.36502,1.56001,1.15929,1.43591,0.0010824,0.0010824,0.0010824
28,327.801,1.62001,1.2768,1.41979,0.65669,0.74556,0.74435,0.39153,1.56714,1.09825,1.43025,0.0010813,0.0010813,0.0010813
29,339.088,1.63179,1.27764,1.44304,0.70918,0.7157,0.75096,0.38039,1.58461,1.12512,1.45733,0.0010802,0.0010802,0.0010802
30,350.331,1.58261,1.26586,1.41284,0.6502,0.80629,0.73419,0.38632,1.5334,1.13669,1.45676,0.0010791,0.0010791,0.0010791
31,361.761,1.60222,1.26568,1.41392,0.58716,0.7326,0.71504,0.36593,1.63863,1.10164,1.48293,0.001078,0.001078,0.001078
32,373.23,1.61536,1.21975,1.41988,0.65173,0.74008,0.72393,0.38776,1.5147,1.14115,1.43139,0.0010769,0.0010769,0.0010769
33,384.682,1.55649,1.19518,1.39306,0.63106,0.76047,0.7286,0.39724,1.53984,1.06066,1.43021,0.0010758,0.0010758,0.0010758
34,396.199,1.57158,1.19814,1.40074,0.57795,0.76902,0.75401,0.37829,1.63859,1.11148,1.48792,0.0010747,0.0010747,0.0010747
35,407.739,1.50582,1.12776,1.36407,0.75802,0.69385,0.70645,0.39123,1.50164,1.05991,1.41709,0.0010736,0.0010736,0.0010736
36,419.25,1.59773,1.151,1.39459,0.64261,0.81206,0.73005,0.41204,1.47975,0.98052,1.40843,0.0010725,0.0010725,0.0010725
37,430.689,1.54768,1.13119,1.3488,0.69409,0.77753,0.77093,0.43091,1.4661,1.04131,1.37656,0.0010714,0.0010714,0.0010714
38,442.269,1.53052,1.17009,1.37055,0.62115,0.83885,0.8062,0.46307,1.44741,1.00712,1.37572,0.0010703,0.0010703,0.0010703
39,454.094,1.56117,1.17377,1.37549,0.73585,0.71168,0.76364,0.4101,1.48001,0.99028,1.38515,0.0010692,0.0010692,0.0010692
40,465.489,1.54741,1.10459,1.37079,0.58483,0.84972,0.76506,0.43044,1.47587,1.05892,1.38381,0.0010681,0.0010681,0.0010681
41,476.837,1.56371,1.11568,1.39721,0.66403,0.83627,0.80945,0.4498,1.48164,0.99526,1.41045,0.001067,0.001067,0.001067
42,488.719,1.51441,1.13617,1.34365,0.62864,0.80418,0.81034,0.40101,1.65501,1.14054,1.48328,0.0010659,0.0010659,0.0010659
43,500.277,1.5578,1.12725,1.3607,0.67963,0.79735,0.78008,0.43603,1.51176,0.97984,1.40048,0.0010648,0.0010648,0.0010648
44,511.928,1.5392,1.1934,1.38482,0.61433,0.82618,0.78441,0.44281,1.47313,1.08033,1.38715,0.0010637,0.0010637,0.0010637
45,523.347,1.5662,1.1662,1.3857,0.77399,0.78783,0.82111,0.46336,1.51185,0.96621,1.39329,0.0010626,0.0010626,0.0010626
46,534.823,1.48734,1.12312,1.31535,0.74484,0.77732,0.79008,0.43002,1.50916,1.01166,1.40803,0.0010615,0.0010615,0.0010615
47,546.304,1.51101,1.12795,1.32537,0.66111,0.79002,0.74463,0.40055,1.52126,1.01648,1.41854,0.00106041,0.00106041,0.00106041
48,557.654,1.46548,1.12275,1.342,0.63645,0.8365,0.80551,0.46092,1.4644,0.98495,1.38554,0.00105931,0.00105931,0.00105931
49,568.97,1.48396,1.08547,1.36244,0.71344,0.84716,0.80499,0.4553,1.49072,0.94161,1.39359,0.00105821,0.00105821,0.00105821
50,580.248,1.52139,1.06674,1.35606,0.71152,0.86486,0.82883,0.46336,1.52249,0.91715,1.4125,0.00105711,0.00105711,0.00105711
51,591.702,1.50375,1.07927,1.36443,0.65996,0.86195,0.82405,0.47254,1.45805,0.9456,1.3596,0.00105601,0.00105601,0.00105601
52,603.16,1.49076,1.11814,1.34705,0.75986,0.78326,0.83165,0.46739,1.46141,0.93304,1.36531,0.00105491,0.00105491,0.00105491
53,614.44,1.51612,1.17428,1.34798,0.75114,0.76925,0.82739,0.47326,1.45517,0.91149,1.37868,0.00105381,0.00105381,0.00105381
54,625.869,1.52217,1.14306,1.37617,0.68008,0.75617,0.7847,0.43887,1.44925,0.95843,1.36672,0.00105271,0.00105271,0.00105271
55,637.203,1.47444,1.10256,1.35089,0.74774,0.8355,0.82044,0.49006,1.41252,0.90468,1.3428,0.00105161,0.00105161,0.00105161
56,648.932,1.45228,1.03317,1.31481,0.73969,0.85719,0.82683,0.51441,1.38646,0.86793,1.33399,0.00105051,0.00105051,0.00105051
57,660.776,1.47956,1.0257,1.36938,0.75567,0.81542,0.85262,0.51577,1.39652,0.86165,1.35119,0.00104941,0.00104941,0.00104941
58,672.446,1.51068,1.0404,1.33865,0.73266,0.82849,0.82486,0.48076,1.45353,0.92639,1.37963,0.00104831,0.00104831,0.00104831
59,684.23,1.48113,1.0916,1.34842,0.69909,0.84487,0.81474,0.43696,1.50225,0.99864,1.42502,0.00104721,0.00104721,0.00104721
60,695.852,1.47819,1.0688,1.3314,0.71651,0.83617,0.82263,0.45847,1.48156,0.96741,1.39953,0.00104611,0.00104611,0.00104611
61,707.504,1.47867,1.05213,1.31663,0.65405,0.7818,0.74827,0.40009,1.57189,1.0015,1.45064,0.00104501,0.00104501,0.00104501
62,719.13,1.47322,1.06265,1.35221,0.74134,0.80184,0.84008,0.47564,1.51533,0.91406,1.39444,0.00104391,0.00104391,0.00104391
63,733.443,1.52532,1.08002,1.34867,0.77898,0.81255,0.85811,0.5021,1.41762,0.89402,1.34977,0.00104281,0.00104281,0.00104281
64,745.506,1.47254,1.01874,1.34105,0.73502,0.83532,0.86666,0.51145,1.41496,0.85469,1.34047,0.00104171,0.00104171,0.00104171
65,757.058,1.45957,1.03653,1.32445,0.74357,0.85715,0.85008,0.49601,1.43597,0.89503,1.35795,0.00104061,0.00104061,0.00104061
66,768.557,1.45387,1.01306,1.31905,0.77167,0.79234,0.85825,0.51222,1.38659,0.8804,1.34596,0.00103951,0.00103951,0.00103951
67,780.048,1.49617,1.04559,1.35282,0.75055,0.87673,0.86097,0.50664,1.39063,0.92247,1.3485,0.00103841,0.00103841,0.00103841
68,791.601,1.45098,0.96048,1.32256,0.75733,0.84325,0.86035,0.51854,1.39908,0.85879,1.3403,0.00103731,0.00103731,0.00103731
69,803.099,1.47507,1.00743,1.33429,0.75257,0.81545,0.86518,0.51439,1.44855,0.91849,1.36887,0.00103621,0.00103621,0.00103621
70,814.798,1.46401,1.02094,1.34657,0.72155,0.84914,0.8725,0.4995,1.49773,0.95568,1.37602,0.00103511,0.00103511,0.00103511
71,826.378,1.46199,1.04118,1.30217,0.70969,0.81552,0.82587,0.49539,1.39897,0.92016,1.3459,0.00103401,0.00103401,0.00103401
72,837.883,1.48216,1.03558,1.3287,0.77226,0.89556,0.87876,0.53885,1.33583,0.87229,1.31285,0.00103291,0.00103291,0.00103291
73,849.387,1.44444,1.02869,1.32709,0.77577,0.82962,0.86066,0.51886,1.34928,0.8885,1.31211,0.00103181,0.00103181,0.00103181
74,860.849,1.4728,1.01092,1.3421,0.76462,0.85446,0.85453,0.49537,1.42545,0.88263,1.33775,0.00103071,0.00103071,0.00103071
