epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8672,2.46375,6.2495,2.07746,0.64417,0.38742,0.29957,0.11323,1.99014,3.84954,1.72747,0.00024442,0.00024442,0.00024442
2,28.9419,1.9117,2.7199,1.59975,0.50897,0.56351,0.45824,0.20392,1.76193,1.82831,1.63796,0.000334967,0.000334967,0.000334967
3,40.6531,1.76748,2.10441,1.50796,0.46033,0.63146,0.54507,0.27342,1.68433,1.4334,1.53658,0.000256863,0.000256863,0.000256863
